PM2.5,NO2,NH3,SO2,O3,AQI,Y_Pred,Y Class,Y_Pred Class
61.8651,48.6,10.54,10.75,73.63,98.6,145.291458,Satisfactory,Very Poor
61.8651,54.96,9.96,10.87,34.43,104.96,134.9000178,Moderate,Very Poor
61.8651,22.4,9.99,12.45,48.82,69,132.5428673,Satisfactory,Very Poor
61.8651,22.22,10.04,10.7,35.5,69,129.0513835,Satisfactory,Very Poor
61.8651,36.81,11.76,13.96,54.8,86.81,136.6167249,Satisfactory,Very Poor
61.8651,22.96,9.56,8.66,49.91,69,134.0021559,Satisfactory,Very Poor
173.51,30.32,11.76,8.86,30.17,166,274.3620794,Moderate,Severe
149.04,112.29,9.68,14.04,38.67,333,259.2805285,Very Poor,Severe
205.65,98.75,13.31,10.16,39.17,202.21,331.3349479,Poor,Severe
140.21,31.79,10.91,11.94,44.52,318,234.8404441,Very Poor,Very Poor
266.29,50.12,11.51,25.45,27.64,408,393.2594255,Severe,Severe
88.65,38.75,10.97,11.76,27.68,448,164.3376068,Severe,Very Poor
81.34,48.15,10.35,5.59,27.69,413,158.3168434,Severe,Very Poor
144.46,25.53,10.41,8.05,27.57,391,235.2237865,Very Poor,Very Poor
51.69,46.48,11.41,6.53,27.62,312,119.2437361,Very Poor,Poor
103.75,36.98,10.04,4.65,27.54,289,185.4891696,Poor,Very Poor
106.27,38.34,11.53,6.22,27.65,206,188.6111086,Poor,Very Poor
42.82,35.32,10.17,6.23,27.6,248,105.7037418,Poor,Poor
85.86,26.79,12.33,3.96,27.58,302,153.431625,Very Poor,Very Poor
83.19,16.84,12.35,5.63,23.22,193,105.5562395,Moderate,Poor
48.35,18.16,10.95,5.73,13.38,151,141.9779069,Moderate,Very Poor
73.66,17.07,10.83,3.76,24.4,137,132.1317613,Moderate,Very Poor
66.72,16.79,12.76,4.31,22.29,208,149.0293925,Poor,Very Poor
80.79,16.3,10.7,5.7,19.22,172,144.8175786,Moderate,Very Poor
75.59,16.81,11.54,5.16,27.01,149,145.7966609,Moderate,Very Poor
75.82,17.27,11.58,3.58,27.57,157,150.2709286,Moderate,Very Poor
80.23,20.43,9.86,5.58,23.1,242,160.475546,Poor,Very Poor
87.48,18.6,10.79,6.25,27.62,205,141.7321879,Poor,Very Poor
72.65,18.34,9.6,4.7,28.02,245,165.0992706,Poor,Very Poor
90.72,19.6,9.91,1.75,24.24,244,143.2544238,Poor,Very Poor
73.28,22.18,9.81,4.53,27.79,152,143.6122812,Moderate,Very Poor
73.33,22.69,10.07,3.82,27.81,152,141.9568399,Moderate,Very Poor
71.17,29.45,10.46,4.36,27.86,148,158.6507388,Moderate,Very Poor
78.58,69.16,10.33,5.99,27.82,149,147.6879324,Moderate,Very Poor
74.55,37.66,9.97,5.08,27.79,158,144.003782,Moderate,Very Poor
