PM2.5,CO,NO2,,,Y,Y_Pred,Y_Class,Y_Pred_Class
153.73,1.34,18.36,,,306,255.845479,Poor,Fair
56.25,2.25,15.23,,,158,141.5150221,Moderate,Moderate
36.7,1.1,22.3,,,92,97.49290867,Satisfactory,Satisfactory
37.94,0.85,23.03,,,85,95.21681416,Satisfactory,Satisfactory
8.72,0.7,7.32,,,77,55.34732953,Satisfactory,Satisfactory
63.44,0.91,16.53,,,109,130.1983134,Moderate,Moderate
48.11,0.99,16.31,,,78,111.2252462,Satisfactory,Moderate
50.38,0.16,17.14,,,81,101.333487,Satisfactory,Moderate
76.91,1.68,12.11,,,216,160.1553622,Fair,Moderate
63.16,8.02,49.3,,,130,237.6836787,Moderate,Fair
20.17,1.03,14.53,,,80,75.09712609,Satisfactory,Satisfactory
17.87,0.59,9.58,,,65,65.57397133,Satisfactory,Satisfactory
178.54,1.03,11.68,,,283,284.2070856,Fair,Fair
48.26,0.96,18.38,,,90,110.8277371,Satisfactory,Moderate
25.84,0.81,22.76,,,75,78.65261025,Satisfactory,Satisfactory
82.38,0.8,22.6,,,174,153.0982806,Moderate,Moderate
27.99,0.59,18.51,,,70,78.35732497,Satisfactory,Satisfactory
38.73,0.84,22.77,,,75,96.12091521,Satisfactory,Satisfactory
49.89,2.28,19.47,,,141,133.3190834,Moderate,Moderate
60.21,0.09,11.17,,,93,113.5986382,Satisfactory,Moderate
22.43,0.65,4.38,,,58,72.84787343,Satisfactory,Satisfactory
44.26,4.41,10.47,,,224,159.3982856,Fair,Moderate
29.31,0.52,9.78,,,50,79.57106826,Good,Satisfactory
30.56,0.52,20.28,,,63,80.55295931,Satisfactory,Satisfactory
42.57,0.8,40.82,,,68,99.42143575,Satisfactory,Satisfactory
41.12,0.03,12.26,,,70,87.41725013,Satisfactory,Satisfactory
42.07,0.93,11.85,,,147,102.6126534,Moderate,Moderate
52.28,0.02,11.85,,,104,102.0114555,Moderate,Moderate
48.82,0.2,9.9,,,86,100.3539828,Satisfactory,Very Poor
68.28,2.3,16.15,,,181,158.1002011,Moderate,Moderate
35.09,1.28,14.66,,,126,98.63757996,Moderate,Satisfactory
20.3,0.61,8.1,,,65,69.18302186,Satisfactory,Satisfactory
45.96,0.81,15.41,,,86,105.6628407,Satisfactory,Moderate
46.48,0.95,29.32,,,86,107.6297347,Satisfactory,Moderate
37.42,0.09,9.94,,,80,83.61119242,Satisfactory,Satisfactory
90.46,0.65,29.43,,,184,161.0044621,Moderate,Moderate
101.77,0.16,33.63,,,216,168.0817333,Fair,Moderate
25.15,0.67,15.8,,,51,76.01984459,Satisfactory,Satisfactory
28.58,1.1,15.78,,,89,87.19491518,Satisfactory,Satisfactory
37.71,1.72,12.52,,,107,109.0333888,Moderate,Moderate
14.27,0.61,9.43,,,57,61.14346531,Satisfactory,Satisfactory
286.08,0,10.59,,,350,410.221811,Poor,Very Poor
42.82,1.21,35.32,,,248,106.4402573,Fair,Moderate
66.85,1.01,29.99,,,145,135.387927,Moderate,Moderate
27.35,0.93,23.87,,,71,82.42961754,Satisfactory,Satisfactory
63.82,0.19,16.73,,,165,119.5540635,Moderate,Moderate
55.1,0.81,19.88,,,109,117.4367205,Moderate,Moderate
60.89,0.06,28.46,,,180,112.9332568,Moderate,Moderate
74.73,1.14,16.56,,,133,148.647015,Moderate,Moderate
23.55,1.12,8.94,,,106,81.30296819,Moderate,Satisfactory
36.56,1.09,14.02,,,78,97.67969901,Satisfactory,Satisfactory
85.39,4.08,29.71,,,195,207.3337831,Moderate,Fair
22.62,1.05,11.39,,,76,78.83803721,Satisfactory,Satisfactory
45.95,0.05,9.08,,,76,94.30050655,Satisfactory,Satisfactory
7.03,0.7,4.1,,,66,53.32240247,Satisfactory,Satisfactory
49.98,0.94,21.91,,,96,112.5632983,Satisfactory,Moderate
61.47,0.9,16.96,,,93,127.4174553,Satisfactory,Moderate
34.52,0.22,11.05,,,93,81.72495111,Satisfactory,Satisfactory
21.83,0.9,14.07,,,80,75.30620256,Satisfactory,Satisfactory
24.94,0.74,8.75,,,65,77.27311801,Satisfactory,Satisfactory
40.58,0.01,14.01,,,102,86.28441746,Moderate,Satisfactory
48.06,0.65,13.76,,,168,106.0641282,Moderate,Moderate
18.83,1.07,9.24,,,95,74.28395374,Satisfactory,Satisfactory
62.34,0.97,24.68,,,123,129.1570341,Moderate,Moderate
34.54,0.72,13.8,,,65,89.30775167,Satisfactory,Satisfactory
42.94,1.58,18.58,,,100,113.3832698,Satisfactory,Moderate
32.56,0.83,19.87,,,58,88.01081374,Satisfactory,Satisfactory
55.19,0.85,24.05,,,132,117.9089845,Moderate,Moderate
76.95,0.77,73.31,,,127,142.2488181,Moderate,Moderate
26.74,0.99,15.1,,,74,83.10985793,Satisfactory,Satisfactory
25.51,0.2,14.73,,,78,69.29547971,Satisfactory,Satisfactory
62.12,0,15.6,,,136,114.4453094,Moderate,Moderate
49.99,0.85,17.96,,,84,111.4358652,Satisfactory,Moderate
100.61,1.23,11.24,,,216,184.5187197,Fair,Moderate
45.89,1.2,11.56,,,115,111.8454175,Moderate,Moderate
65.59,0.92,12.28,,,98,133.4593569,Satisfactory,Moderate
32.53,1,12.48,,,82,91.06938465,Satisfactory,Satisfactory
87,0.94,16.49,,,149,161.7461423,Moderate,Moderate
79.98,3.12,19.21,,,201,186.0200247,Fair,Moderate
58.12,0.97,12.57,,,110,124.3592833,Moderate,Moderate
53.22,0.88,18.04,,,89,116.1558132,Satisfactory,Moderate
33.26,1.12,14.71,,,108,93.74621632,Moderate,Satisfactory
42.05,0.76,24.99,,,71,99.1227677,Satisfactory,Satisfactory
18.98,0.03,24.09,,,118,57.45748693,Moderate,Satisfactory
65.17,0.94,17.18,,,108,132.903176,Moderate,Moderate
41.5,0.13,15.71,,,68,89.2455817,Satisfactory,Satisfactory
73.28,1.02,22.18,,,152,144.5215411,Moderate,Moderate
41.69,0.85,24.76,,,63,100.0540604,Satisfactory,Very Poor
95.49,0.73,17.79,,,121,169.6168503,Moderate,Moderate
31.33,0.02,11.41,,,71,74.40122469,Satisfactory,Satisfactory
81.03,1.2,11.06,,,158,158.2354657,Moderate,Moderate
36.23,1.05,13.53,,,100,96.65699051,Satisfactory,Satisfactory
51.62,10.29,19.39,,,108,259.4594757,Moderate,Fair
47.78,1.48,9.44,,,132,118.8029387,Moderate,Moderate
35.96,0.03,17.62,,,94,80.26937248,Satisfactory,Satisfactory
71.53,0.78,18.29,,,165,138.7490791,Moderate,Moderate
37.91,0.04,12.73,,,69,83.30723224,Satisfactory,Satisfactory
50.63,0.65,10.35,,,138,109.6712585,Moderate,Moderate
56.12,1.27,14.52,,,100,126.2355803,Satisfactory,Moderate
40.36,0.05,8.62,,,74,86.95515376,Satisfactory,Satisfactory
82.63,1.8,43.83,,,146,167.5414457,Moderate,Moderate
24.43,1.22,7.59,,,78,84.09591234,Satisfactory,Satisfactory
55.88,0.79,10.79,,,111,118.7340606,Moderate,Moderate
21.08,0.45,10.09,,,53,67.61162157,Satisfactory,Satisfactory
68.25,0.1,10.96,,,144,124.3733364,Moderate,Moderate
39.11,0,9.93,,,86,84.44974539,Satisfactory,Satisfactory
57.67,1.01,11.22,,,150,124.4698933,Moderate,Moderate
36.32,0.78,14.12,,,75,92.56341351,Satisfactory,Satisfactory
30.39,0.99,14.41,,,78,87.96894543,Satisfactory,Satisfactory
29.55,1.22,7.53,,,113,90.85426044,Moderate,Satisfactory
42.71,1.89,10.73,,,154,118.3719417,Moderate,Moderate
52.28,0.53,16.88,,,83,109.5776239,Satisfactory,Moderate
44.08,0.02,11.47,,,72,91.21778937,Satisfactory,Satisfactory
41.01,0.84,12.16,,,102,99.80294928,Moderate,Satisfactory
51.81,0,7.71,,,91,101.345218,Satisfactory,Moderate
47.01,0.99,16.54,,,135,109.7594623,Moderate,Moderate
67.8,12.02,26.61,,,113,307.0958855,Moderate,Poor
32.88,1.02,14.81,,,89,91.69231927,Satisfactory,Satisfactory
42.8,1.42,22.99,,,100,110.4443981,Satisfactory,Moderate
36.46,0.83,21.64,,,90,93.0434052,Satisfactory,Satisfactory
45.41,0.94,11.06,,,87,107.2237518,Satisfactory,Moderate
21.64,0,8.15,,,44,61.51563115,Good,Satisfactory
33.09,1.13,16.36,,,87,93.57172732,Satisfactory,Satisfactory
28.82,1.33,7.8,,,103,91.5749086,Moderate,Satisfactory
55.43,0.12,14.99,,,142,107.5137937,Moderate,Moderate
58.15,1.22,11.26,,,161,128.3476723,Moderate,Moderate
40.73,0.76,21.88,,,96,97.57897203,Satisfactory,Satisfactory
31.16,0.46,10.19,,,60,81.05788282,Satisfactory,Satisfactory
26.43,0.89,17.24,,,110,81.01868731,Moderate,Satisfactory
11.23,0.76,5.48,,,73,59.70328589,Satisfactory,Satisfactory
176.07,0.66,15.07,,,252,275.0121,Fair,Fair
10.46,0.68,11.07,,,67,57.0952969,Satisfactory,Satisfactory
20.25,0.83,10.11,,,70,72.39105083,Satisfactory,Satisfactory
49.62,0.83,21.35,,,114,110.4230993,Moderate,Moderate
58.28,0.8,12.01,,,114,121.9773539,Moderate,Moderate
112.72,1.47,15.66,,,251,203.9248867,Fair,Fair
73.06,0,30.39,,,175,127.9381023,Moderate,Moderate
30.77,1.1,19.66,,,96,89.83752875,Satisfactory,Satisfactory
20.52,1.17,12.19,,,128,77.87226639,Moderate,Satisfactory
74.65,0.85,7.78,,,135,144.6152861,Moderate,Moderate
36.72,2.31,18.96,,,132,116.4408975,Moderate,Moderate
10.11,0.69,5.59,,,78,57.13638091,Satisfactory,Satisfactory
35.36,1.13,11.02,,,78,96.90571538,Satisfactory,Satisfactory
29.65,0.81,21.28,,,54,83.77297325,Satisfactory,Satisfactory
91.49,0.41,34.32,,,199,158.3416245,Moderate,Moderate
67.15,0,10.53,,,117,121.4032587,Moderate,Moderate
33.9,0.5,11.38,,,96,85.2154947,Satisfactory,Satisfactory
70.95,0.87,16.78,,,91,139.4714685,Satisfactory,Moderate
35.67,0.81,20.48,,,68,91.76566137,Satisfactory,Satisfactory
24.1,1.18,12.26,,,86,82.74533964,Satisfactory,Satisfactory
46.09,0.84,8.79,,,121,106.7188436,Moderate,Moderate
64.22,0.16,12.9,,,194,119.8612492,Moderate,Moderate
69.9,1.65,15.9,,,209,150.202769,Fair,Moderate
