PM2.5,NO2,CO,O3,AQI,Y_Pred
35.16,12.35,0.83,36.1,70.0,91.97087594263209
25.94,20.83,0.84,29.16,66.0,76.97269189741453
56.32,19.54,0.82,17.08,103.0,112.55748469221709
37.18,11.24,0.3,35.94,84.0,88.63862104354587
26.43,17.24,0.89,37.5,110.0,81.07282493775614
70.73,14.19,0.86,31.93,168.0,136.50805322129435
73.06,30.39,0.0,47.78,175.0,131.554834294253
45.89,18.13,1.15,48.96,102.0,112.08555306401962
39.25,8.88,0.58,39.14,84.0,95.76182740150026
31.97,7.9,1.23,56.35,99.0,98.81526667613927
51.11,14.79,1.38,64.42,106.0,126.26588098100581
61.29,10.22,0.42,29.77,92.0,119.38713483834663
8.72,7.32,0.7,48.56,77.0,60.83191022323611
87.07,9.98,1.62,19.61,214.0,163.3778867243961
56.9,14.19,0.53,51.76,122.0,120.53768201707813
24.98,19.13,0.89,13.27,80.0,72.1329491008529
33.41,13.74,0.92,37.94,81.0,91.0488639122012
37.64,18.77,0.83,22.1,74.0,90.2235690909327
18.49,8.74,1.06,43.39,76.0,75.81310181640109
93.32,14.81,1.03,17.77,118.0,163.38235896028542
61.8651,46.77,1.43,24.98,91.26,124.56078586037788
43.38,9.81,1.81,49.08,100.0,117.74972808556927
45.98,27.02,0.06,4.59,81.0,85.92941961735497
31.6,17.18,0.94,18.73,67.0,83.03593837354879
70.58,17.94,20.62,29.69,290.0,360.8466083815997
87.38,14.43,0.72,16.65,100.0,151.9636570154458
57.23,15.14,0.54,21.97,114.0,112.58876153250579
44.79,12.53,1.64,28.69,175.0,111.48206684432685
76.77,17.43,0.0,31.36,176.0,133.7644839346225
38.61,10.78,0.0,33.1,92.0,86.3242928599752
35.62,18.88,0.58,9.19,77.0,81.14461928087975
81.34,48.15,1.34,27.69,413.0,149.06804503731047
39.65,19.41,1.1,25.74,91.0,96.80565913132695
24.99,17.69,1.05,44.3,84.0,82.88468805829223
35.65,16.97,0.96,21.73,72.0,89.33499295845873
37.39,79.04,0.8,24.41,128.0,80.7038376983502
35.38,13.72,1.03,16.17,74.0,88.74460470968819
138.07,8.62,1.23,45.23,130.0,231.7615000708144
36.76,9.22,0.03,33.27,65.0,84.58622340106652
46.95,11.89,0.94,43.27,86.0,110.43829308862718
79.01,15.12,1.46,38.48,170.0,155.6760001620106
41.8,13.77,2.03,39.61,135.0,114.96071354403794
25.14,24.3,1.15,34.08,71.0,80.31734780299435
60.53,11.26,1.12,65.54,143.0,136.25539659573786
62.47,13.86,1.24,48.37,166.0,134.90112999326868
81.45,28.53,0.06,49.08,131.0,143.66534591978316
36.85,9.91,0.02,21.17,80.0,81.09243707725392
58.09,21.05,0.77,31.6,155.0,118.08335840396126
8.1,5.34,0.58,37.03,59.0,55.75067826870064
95.58,15.61,0.66,32.1,182.0,165.94002619975345
85.55,16.47,3.13,40.22,200.0,183.42272698760488
37.22,16.77,0.77,37.59,81.0,93.64936153027244
37.74,12.9,1.14,17.91,83.0,93.64643353126469
49.62,21.35,0.83,28.32,114.0,106.93296487564508
74.73,16.56,1.14,25.98,133.0,142.80182689364187
34.61,10.35,0.59,14.91,86.0,82.90828074497313
41.12,12.26,0.03,24.56,70.0,87.26511608327235
50.27,14.4,0.12,43.31,76.0,104.94659004637052
34.55,23.17,0.0,5.94,49.0,71.55918434016034
45.09,9.21,0.03,19.26,76.0,91.35797458600925
23.68,18.38,1.05,14.23,75.0,72.679333218187
30.94,10.66,0.65,24.05,69.0,81.3925797730758
43.64,10.24,0.04,18.54,62.0,89.2473552766035
40.9,15.23,0.17,15.18,64.0,85.48887743193421
34.51,17.96,0.8,21.44,98.0,85.80670698642601
41.29,10.64,1.86,40.93,122.0,113.22689933535091
97.96,16.44,6.45,24.28,135.0,232.82341845748377
26.55,14.07,0.85,27.49,71.0,78.46829968924732
69.85,8.37,0.32,57.04,136.0,137.1541870560962
47.91,10.99,1.23,19.56,81.0,108.49001735718015
19.33,10.38,0.83,25.33,68.0,68.95075847526296
37.78,24.04,1.05,47.65,110.0,99.23606827609872
38.04,15.39,0.85,41.51,73.0,96.93035395039489
49.28,18.84,0.83,22.41,109.0,105.23839441027505
56.02,14.38,0.99,42.11,139.0,121.93299190743602
62.95,9.71,0.0,31.65,348.0,117.32585283495317
42.6,23.98,0.8,29.4,64.0,97.46814056119267
68.89,22.48,0.68,51.59,140.0,136.28503472854302
37.13,19.38,0.72,22.44,95.0,88.31129364995722
39.87,20.52,0.78,23.03,105.0,92.49873519437978
123.36,11.41,1.23,22.18,251.0,205.9916932682073
30.56,20.28,0.52,32.91,63.0,80.3824510502037
51.96,27.26,0.37,21.74,104.0,101.90762555601229
38.39,18.05,1.13,13.48,77.0,92.3146675343616
45.89,23.22,0.78,22.0,78.0,99.51102081866823
54.85,8.39,1.36,36.62,113.0,124.06648267808582
37.63,10.75,0.07,17.67,95.0,81.55280208777356
24.1,12.26,1.18,56.23,86.0,87.42244544755712
31.9,15.54,0.99,13.17,76.0,82.69476894773607
54.0,13.79,0.88,59.47,128.0,123.03509126846626
47.01,16.54,0.99,25.99,135.0,105.51746022322493
42.45,7.61,1.29,44.62,106.0,109.71408096999599
71.04,16.94,0.83,33.83,161.0,136.66132105460014
39.6,10.92,0.88,26.69,74.0,95.83254396689566
100.61,11.24,1.23,18.18,216.0,175.70107605006362
68.41,20.66,1.8,33.28,169.0,143.62727929444867
44.5,15.41,1.27,43.68,100.0,110.6237488001251
62.57,10.28,0.0,9.11,78.0,110.44032298947292
49.99,17.96,0.85,11.91,84.0,103.57837769736021
28.72,15.59,0.14,15.57,85.0,69.56636649401713
87.04,28.5,0.15,63.2,208.0,155.82421890888395
27.99,18.51,0.59,24.43,70.0,75.78965009648044
