PM2.5,NO2,CO,O3,AQI,Y_Pred
40.05,19.32,0.91,33.97,89.0,97.46577095286665
11.23,5.48,0.76,43.98,73.0,63.747155556534864
34.9,22.5,0.83,27.19,66.0,87.54334401188711
64.95,13.29,1.0,41.1,129.0,133.3974557427179
30.69,10.98,0.65,31.21,149.0,83.02503889845809
36.17,10.03,0.22,19.31,77.0,81.96516425132654
38.02,19.4,1.07,56.64,81.0,103.02006466246758
51.55,18.75,1.56,31.29,143.0,118.99101407130044
48.59,21.24,1.37,41.45,113.0,115.47214723493194
55.78,19.34,0.83,21.63,87.0,113.28355765038125
70.8,21.71,1.1,32.78,146.0,138.392006278387
38.43,11.16,0.85,50.34,202.0,100.56895295425267
17.79,12.66,0.47,33.27,60.0,64.72401524715433
32.0,13.39,0.77,30.63,80.0,85.53498204269025
60.81,22.73,0.83,17.12,123.0,117.94255948748327
80.23,20.43,5.69,23.1,242.0,200.42624878277192
43.31,15.45,0.07,32.19,90.0,92.1651500603727
47.86,16.53,0.12,4.38,80.0,90.62289798419485
57.98,20.51,0.79,27.11,107.0,116.99925875417357
77.2,17.59,2.04,28.86,157.0,156.8975825394534
59.66,15.41,0.75,45.47,128.0,124.64069745233749
62.16,10.03,1.91,54.63,156.0,144.5134836061827
67.8,20.78,0.76,44.7,129.0,134.13988786743886
82.65,17.84,0.98,31.97,156.0,152.61317513729693
32.92,11.21,1.06,21.84,75.0,87.91263641770016
43.16,17.81,2.14,19.23,68.91,111.62243396500614
34.09,12.32,0.65,33.34,74.0,87.77351487182274
60.92,12.17,1.01,46.66,120.0,130.07207211053407
36.85,14.24,0.0,46.12,86.0,87.16365672754753
29.73,12.96,1.0,20.48,74.0,82.47650452868632
16.9,10.73,0.86,28.38,93.0,66.97314168719139
29.69,12.64,0.94,7.8,62.0,78.2415721617759
48.62,12.94,1.05,51.3,131.0,115.92001348147751
30.64,18.33,0.99,27.07,92.0,84.52775745321492
51.11,20.41,0.98,41.93,93.0,114.51600526501848
34.12,16.49,0.83,62.67,105.0,97.41914482020368
39.48,11.43,0.56,15.12,96.0,88.70432958928888
32.77,10.62,0.87,13.46,91.0,83.29728625632308
61.8651,11.37,2.82,41.26,69.0,150.57839496690934
89.6,16.96,0.89,54.2,212.0,166.86474114101853
48.5,25.61,0.86,44.79,70.0,109.77582933881095
61.8651,12.97,1.43,31.32,69.0,131.66422670865586
28.42,11.83,1.07,33.31,87.0,85.36365002682298
26.19,23.39,0.7,52.98,110.0,81.95665572593971
14.71,12.74,0.57,32.83,55.0,61.777761153634955
62.54,19.45,8.49,31.75,208.0,212.28642249556438
27.11,14.73,0.75,39.33,121.0,81.25400008944757
54.4,25.2,0.81,22.09,95.0,110.48873907418118
53.6,11.75,0.01,38.21,67.0,106.95425768298524
36.8,12.5,1.61,17.04,126.0,97.62914358739351
59.64,12.43,0.49,33.32,110.0,118.71424135750871
164.37,20.65,1.23,20.49,258.0,256.69528992008713
67.15,16.29,0.03,39.87,105.0,124.32195548089452
51.32,8.8,2.49,57.19,198.0,138.13772373829065
102.97,25.74,2.12,52.73,206.0,196.28067414508402
29.8,15.25,0.34,35.78,78.0,78.94687894294236
73.66,17.07,1.1,24.4,137.0,140.44899336345918
84.65,19.54,1.13,25.82,196.0,154.9045657359273
40.81,6.05,1.54,34.14,121.0,107.77846592174832
42.37,15.42,1.03,36.09,141.0,103.02246864181188
45.13,15.97,0.04,28.68,130.0,93.09397120181335
44.37,12.34,1.01,55.63,115.0,111.31483788302138
29.65,15.98,0.93,19.14,83.0,80.72294914506404
56.37,12.29,0.74,29.27,122.0,116.26222529864815
61.73,9.72,0.1,23.92,87.0,114.73766124067447
28.52,11.17,0.55,28.85,63.0,78.40712660049303
42.16,13.37,2.34,24.39,215.0,114.76801660956978
44.9,15.34,0.25,30.37,81.0,95.77022633344322
61.8651,10.95,10.6,93.22,69.0,254.06897363294715
38.1,24.27,0.67,40.77,70.0,93.34376110554558
42.95,14.71,0.77,24.71,84.0,97.72365413295739
29.99,11.74,1.17,18.49,80.0,84.38781058787279
56.26,17.75,0.0,26.41,105.0,106.00562608559349
110.85,16.27,1.01,31.96,205.0,189.39333181797767
79.98,19.21,3.12,25.84,201.0,171.70344609524847
54.64,20.9,0.81,29.89,127.0,113.65760873169258
61.47,16.96,0.9,39.37,93.0,126.72587954730815
62.58,29.62,0.0,54.3,109.0,120.05057023175135
51.73,18.17,1.09,23.58,120.0,111.78624691093168
28.24,8.75,0.29,19.78,82.0,72.92064227799986
33.51,14.2,3.33,21.82,155.0,114.12657596006193
48.82,9.9,0.2,33.32,86.0,101.91332332376078
